UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_L,Type_M,Type_H,Temp_diff [K],power_factor [W],Tool_wear_norm [min]
36,M14895,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,0,1,0,10.399999999999977,7389.7799034800555,0.38735177865612647
37,M14896,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,0,1,0,10.300000000000011,6076.122935381484,0.39920948616600793
38,L47217,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,1,0,0,10.300000000000011,5907.115722593864,0.41106719367588934
39,H29452,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,0,0,1,10.300000000000011,7321.51309511755,0.4189723320158103
40,L47219,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,1,0,0,10.300000000000011,7422.0126441058865,0.43873517786561267
41,L47220,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,1,0,0,10.300000000000011,6475.325113873137,0.44664031620553357
42,L47221,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,1,0,0,10.300000000000011,7277.436550187683,0.45454545454545453
43,M14902,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,0,1,0,10.300000000000011,7033.900287681403,0.4624505928853755
44,H29457,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,0,0,1,10.399999999999977,6968.261945172401,0.4743083003952569
45,M14904,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,0,1,0,10.300000000000011,7322.00527796661,0.49407114624505927
46,L47225,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,1,0,0,10.300000000000011,7656.050824822813,0.5059288537549407
47,M14906,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,0,1,0,10.300000000000011,4979.36152408675,0.5138339920948617
48,L47227,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,1,0,0,10.300000000000011,6875.207970773071,0.525691699604743
49,H29462,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,0,0,1,10.399999999999977,8043.2625913532665,0.5335968379446641
50,M14909,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,0,1,0,10.300000000000011,6520.815375497119,0.5533596837944664
51,L47230,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,1,0,0,10.200000000000045,1378.1748092277942,0.5652173913043478
52,L47231,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,1,0,0,10.200000000000045,7951.025431043872,0.5731225296442688
53,H29466,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,0,0,1,10.199999999999989,6866.327735538923,0.5810276679841897
54,L47233,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,1,0,0,10.300000000000011,5752.41322835559,0.6007905138339921
55,L47234,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,1,0,0,10.300000000000011,5330.141287811076,0.6086956521739131
56,L47235,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,1,0,0,10.300000000000011,6444.286178455672,0.616600790513834
57,L47236,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,1,0,0,10.300000000000011,6558.053720417668,0.6245059288537549
58,L47237,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,1,0,0,10.300000000000011,6385.171876690622,0.6324110671936759
59,M14918,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,0,1,0,10.199999999999989,5131.215640985769,0.6403162055335968
60,L47239,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,1,0,0,10.300000000000011,7850.127946986078,0.6521739130434783
61,L47240,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,1,0,0,10.300000000000011,7673.004953176688,0.6600790513833992
62,M14921,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,0,1,0,10.199999999999989,6368.469075749038,0.6679841897233202
63,L47242,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,1,0,0,10.199999999999989,4386.092695407342,0.6798418972332015
64,M14923,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,0,1,0,10.100000000000023,4914.581883569729,0.6877470355731226
65,L47244,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,1,0,0,10.100000000000023,6156.244020023535,0.6996047430830039
66,L47245,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,1,0,0,10.100000000000023,6583.668172519938,0.7075098814229249
67,M14926,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,0,1,0,10.0,5046.162255877581,0.7154150197628458
68,H29481,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,0,0,1,10.099999999999966,6770.195000339076,0.7272727272727273
69,L47248,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,1,0,0,10.099999999999966,5180.988940594142,0.7470355731225297
70,L47249,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,1,0,0,10.100000000000023,9700.923955019924,0.7549407114624506
71,M14930,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,0,1,0,10.100000000000023,4553.4662800150945,0.7628458498023716
72,L47251,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,1,0,0,10.200000000000045,6918.415341735443,0.7747035573122529
73,L47252,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,1,0,0,10.200000000000045,6365.243707291352,0.782608695652174
74,L47253,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,1,0,0,10.100000000000023,5834.984755267443,0.7905138339920948
75,L47254,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,1,0,0,10.100000000000023,5415.299392674381,0.7984189723320159
76,L47255,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,1,0,0,10.099999999999966,6743.878925877506,0.8063241106719368
77,L47256,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,1,0,0,10.099999999999966,7328.487430808518,0.8142292490118577
78,L47257,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,1,0,0,10.099999999999966,6292.767164773035,0.8221343873517787
79,L47258,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,1,0,0,10.099999999999966,7539.508209350145,0.0
80,L47259,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,1,0,0,10.099999999999966,5564.367964087218,0.007905138339920948
81,H29494,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,0,0,1,10.0,7550.870302780627,0.015810276679841896
82,L47261,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,1,0,0,10.0,7212.573133866567,0.03557312252964427
83,L47262,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,1,0,0,10.0,6208.038410905718,0.043478260869565216
84,L47263,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,1,0,0,10.0,6168.716142858287,0.05138339920948617
85,L47264,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,1,0,0,10.0,7088.187008735435,0.05928853754940711
86,M14945,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,0,1,0,10.0,5062.906944721215,0.06719367588932806
87,H29500,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,0,0,1,10.0,6601.575250645399,0.07905138339920949
88,L47267,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,1,0,0,10.0,5141.656200571199,0.09881422924901186
89,M14948,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,0,1,0,10.0,6716.599429668835,0.1067193675889328
90,M14949,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,0,1,0,10.0,6150.871896585897,0.11857707509881422
91,L47270,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,1,0,0,10.0,4736.2022526989,0.13043478260869565
92,L47271,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,1,0,0,10.0,4771.765081537536,0.1383399209486166
93,M14952,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,0,1,0,10.0,4901.062563183781,0.14624505928853754
94,L47273,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,1,0,0,9.899999999999977,6529.276731710787,0.15810276679841898
95,L47274,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,1,0,0,9.899999999999977,5418.388625450411,0.16600790513833993
96,M14955,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,0,1,0,10.0,7385.06751449967,0.17391304347826086
97,M14956,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,0,1,0,10.0,5822.156585265284,0.1857707509881423
98,M14957,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,0,1,0,10.0,5479.4611866361965,0.1976284584980237
99,L47278,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,1,0,0,9.900000000000034,5235.809732399286,0.20948616600790515
100,L47279,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,1,0,0,10.0,7081.275504897538,0.21739130434782608
101,L47280,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,1,0,0,10.099999999999966,4848.524662040247,0.22529644268774704
102,L47281,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,1,0,0,10.0,4315.888571575122,0.233201581027668
103,L47282,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,1,0,0,10.0,6611.272299969481,0.24110671936758893
104,M14963,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,0,1,0,10.0,6111.497268660904,0.2490118577075099
105,L47284,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,1,0,0,9.899999999999977,6590.01418968019,0.2608695652173913
106,L47285,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,1,0,0,9.899999999999977,5181.543955296277,0.26877470355731226
107,L47286,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,1,0,0,9.899999999999977,7339.022238173556,0.2766798418972332
108,M14967,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,0,1,0,10.0,7336.624155781315,0.2845849802371542
109,H29522,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,0,0,1,9.900000000000034,5550.848643701271,0.2964426877470356
110,L47289,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,1,0,0,9.800000000000011,5613.523417140386,0.31620553359683795
111,L47290,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,1,0,0,9.800000000000011,4410.79608564007,0.3241106719367589
112,H29525,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,0,0,1,9.900000000000034,6828.408712210095,0.33201581027667987
113,M14972,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,0,1,0,9.899999999999977,6196.3726301853885,0.35177865612648224
114,M14973,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,0,1,0,9.800000000000011,6520.208000917424,0.36363636363636365
115,L47294,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,1,0,0,9.800000000000011,5172.318144870235,0.37549407114624506
116,L47295,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,1,0,0,9.800000000000011,6848.326409633855,0.383399209486166
117,L47296,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,1,0,0,9.800000000000011,5584.955867943743,0.391304347826087
118,L47297,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,1,0,0,9.800000000000011,5525.747318399087,0.39920948616600793
119,M14978,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,0,1,0,9.800000000000011,5023.0610778981845,0.40711462450592883
120,L47299,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,1,0,0,9.800000000000011,6252.491946954015,0.4189723320158103
121,L47300,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,1,0,0,9.800000000000011,6707.834386165318,0.4268774703557312
122,L47301,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,1,0,0,9.800000000000011,6721.919193228914,0.43478260869565216
123,L47302,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,1,0,0,9.800000000000011,6955.171975782444,0.4426877470355731
124,L47303,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,1,0,0,9.800000000000011,7026.318577410739,0.4505928853754941
125,L47304,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,1,0,0,9.800000000000011,5317.019902494581,0.45849802371541504
126,L47305,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,1,0,0,9.700000000000045,5260.28273917075,0.466403162055336
127,L47306,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,1,0,0,9.600000000000023,8419.939550518684,0.4743083003952569
128,L47307,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,1,0,0,9.700000000000045,6880.559150259685,0.48221343873517786
129,L47308,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,1,0,0,9.600000000000023,6414.9437030711415,0.4901185770750988
130,L47309,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,1,0,0,9.600000000000023,5599.75276934215,0.4980237154150198
131,L47310,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,1,0,0,9.599999999999966,6339.765390870739,0.5059288537549407
132,L47311,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,1,0,0,9.599999999999966,5038.580545606917,0.5138339920948617
133,M14992,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,0,1,0,9.699999999999989,6518.930419904966,0.5217391304347826
134,M14993,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,0,1,0,9.699999999999989,7427.5627911272295,0.5335968379446641
135,L47314,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,1,0,0,9.599999999999966,7598.151272217154,0.5454545454545454
136,M14995,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,0,1,0,9.699999999999989,5106.501778777529,0.5533596837944664
137,H29550,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,0,0,1,9.800000000000011,6795.683788735201,0.5652173913043478
138,L47317,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,1,0,0,9.900000000000034,7510.93018817799,0.5849802371541502
139,H29552,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,0,0,1,9.800000000000011,7495.902903318319,0.5928853754940712
140,L47319,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,1,0,0,9.800000000000011,7409.383441638455,0.6126482213438735
141,L47320,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,1,0,0,9.800000000000011,5712.158954487593,0.6205533596837944
142,L47321,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,1,0,0,9.800000000000011,5691.393027047366,0.6284584980237155
143,M15002,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,0,1,0,9.799999999999955,5250.606633797693,0.6363636363636364
144,H29557,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,0,0,1,9.799999999999955,7440.705120394745,0.6482213438735178
145,M15004,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,0,1,0,9.799999999999955,6176.203605349342,0.6679841897233202
146,L47325,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,1,0,0,9.899999999999977,5323.61724706712,0.6798418972332015
147,H29560,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,0,0,1,9.899999999999977,6093.977653629385,0.6877470355731226
148,L47327,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,1,0,0,10.0,6361.882203152011,0.7075098814229249
149,M15008,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,0,1,0,10.0,6931.61003088052,0.7154150197628458
150,L47329,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,1,0,0,9.900000000000034,6154.662751721228,0.7272727272727273
151,L47330,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,1,0,0,9.900000000000034,6358.52069901267,0.7351778656126482
152,M15011,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,0,1,0,9.800000000000011,5760.508065426342,0.7430830039525692
153,M15012,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,0,1,0,9.800000000000011,6800.919776491184,0.7549407114624506
154,L47333,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,1,0,0,9.800000000000011,5230.751768227006,0.766798418972332
155,L47334,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,1,0,0,9.800000000000011,5792.426646786813,0.7747035573122529
156,H29569,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,0,0,1,9.800000000000011,4119.9474377707265,0.782608695652174
157,M15016,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,0,1,0,9.700000000000045,7201.577559579002,0.8023715415019763
158,H29571,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,0,0,1,9.800000000000011,6732.747215908285,0.8142292490118577
159,M15018,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,0,1,0,9.800000000000011,6278.996516974799,0.83399209486166
160,L47339,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,1,0,0,9.800000000000011,7240.009709707918,0.8458498023715415
161,L47340,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,1,0,0,9.800000000000011,8149.019072048613,0.8537549407114624
162,L47341,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,1,0,0,9.800000000000011,7733.302588174587,0.8616600790513834
163,L47342,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,1,0,0,9.800000000000011,5896.036372502204,0.0
164,M15023,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,0,1,0,9.800000000000011,6733.312702585932,0.007905138339920948
165,M15024,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,0,1,0,9.800000000000011,6574.725105432719,0.019762845849802372
166,L47345,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,1,0,0,9.899999999999977,4718.4627261816295,0.03162055335968379
167,H29580,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,0,0,1,9.800000000000011,5503.148795244264,0.039525691699604744
168,H29581,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,0,0,1,9.900000000000034,6550.032187175502,0.05928853754940711
169,L47348,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,1,0,0,9.900000000000034,9348.950386087232,0.07905138339920949
170,L47349,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,1,0,0,9.900000000000034,8157.019661339754,0.08695652173913043
171,M15030,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,0,1,0,9.800000000000011,5900.958200992827,0.09486166007905138
172,L47351,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,1,0,0,9.900000000000034,7777.494324835084,0.1067193675889328
173,M15032,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,0,1,0,9.899999999999977,4190.800824084688,0.11462450592885376
174,M15033,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,0,1,0,9.800000000000011,5614.727694324262,0.12648221343873517
175,L47354,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,1,0,0,9.900000000000034,7973.341210859871,0.1383399209486166
176,L47355,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,1,0,0,9.900000000000034,6295.437518528586,0.14624505928853754
177,L47356,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,1,0,0,9.900000000000034,5879.4487632912505,0.1541501976284585
178,L47357,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,1,0,0,10.0,4455.1134860067095,0.16205533596837945
179,L47358,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,1,0,0,10.0,7548.953931261938,0.16996047430830039
180,L47359,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,1,0,0,10.100000000000023,6800.41712166661,0.17786561264822134
181,L47360,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,1,0,0,10.100000000000023,7707.635776194758,0.1857707509881423
182,H29595,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,0,0,1,10.100000000000023,4622.413766785878,0.19367588932806323
183,M15042,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,0,1,0,10.099999999999966,6759.681136925063,0.2134387351778656
184,L47363,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,1,0,0,10.099999999999966,6329.209639554678,0.22529644268774704
185,L47364,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,1,0,0,10.0,5341.775652604869,0.233201581027668
186,L47365,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,1,0,0,10.0,5784.426057495672,0.24110671936758893
187,L47366,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,1,0,0,10.199999999999989,7629.462478997933,0.2490118577075099
188,L47367,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,1,0,0,10.199999999999989,6224.008173561467,0.25691699604743085
189,L47368,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,1,0,0,10.199999999999989,5650.845537865033,0.2648221343873518
190,M15049,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,0,1,0,10.099999999999966,6994.504715805388,0.2727272727272727
191,L47370,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,1,0,0,10.199999999999989,7718.086807755699,0.2845849802371542
192,L47371,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,1,0,0,10.199999999999989,6036.423676215621,0.2924901185770751
193,H29606,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,0,0,1,10.199999999999989,7583.42767464733,0.30039525691699603
194,H29607,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,0,0,1,10.199999999999989,6079.903318541303,0.3201581027667984
195,M15054,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,0,1,0,10.300000000000011,3000.702695051803,0.33992094861660077
196,L47375,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,1,0,0,10.199999999999989,6527.569799702335,0.35177865612648224
197,H29610,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,0,0,1,10.300000000000011,7422.955121901963,0.35968379446640314
198,M15057,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,0,1,0,10.200000000000045,6540.199002169767,0.3794466403162055
199,L47378,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,1,0,0,10.300000000000011,5820.32398955069,0.391304347826087
200,L47379,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,1,0,0,10.200000000000045,7067.986567972852,0.39920948616600793
201,L47380,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,1,0,0,10.200000000000045,5897.293009563639,0.40711462450592883
202,L47381,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,1,0,0,10.199999999999989,6795.264909714723,0.4150197628458498
203,M15062,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,0,1,0,10.100000000000023,6116.178241714753,0.42292490118577075
204,L47383,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,1,0,0,10.100000000000023,5913.6292913623065,0.43478260869565216
205,L47384,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,1,0,0,10.100000000000023,5980.000672157147,0.4426877470355731
206,M15065,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,0,1,0,10.100000000000023,7459.397596683605,0.4505928853754941
207,L47386,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,1,0,0,10.199999999999989,5947.841235359898,0.4624505928853755
208,M15067,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,0,1,0,10.300000000000011,9032.571061919718,0.47035573122529645
209,L47388,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,1,0,0,10.200000000000045,6114.555085510398,0.48221343873517786
210,L47389,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,1,0,0,10.200000000000045,6805.527445716449,0.4901185770750988
211,L47390,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,1,0,0,10.300000000000011,5757.523552405431,0.4980237154150198
